lad2,month,collisions,ksi_collisions,share_dark,share_wet,share_ksi_collisions
-1,2020-01,65,14,0.46153846153846156,0.38461538461538464,0.2153846153846154
-1,2020-02,60,11,0.4166666666666667,0.36666666666666664,0.18333333333333332
-1,2020-03,32,10,0.1875,0.125,0.3125
-1,2020-04,20,4,0.15,0.15,0.2
-1,2020-05,40,5,0.1,0.0,0.125
-1,2020-06,61,13,0.13114754098360656,0.06557377049180328,0.21311475409836064
-1,2020-07,49,10,0.061224489795918366,0.04081632653061224,0.20408163265306123
-1,2020-08,72,20,0.16666666666666666,0.2638888888888889,0.2777777777777778
-1,2020-09,77,13,0.16883116883116883,0.18181818181818182,0.16883116883116883
-1,2020-10,163,28,0.25766871165644173,0.4171779141104294,0.17177914110429449
-1,2020-11,157,25,0.43312101910828027,0.42038216560509556,0.1592356687898089
-1,2020-12,195,34,0.4717948717948718,0.6461538461538462,0.17435897435897435
-1,2021-01,5450,1146,0.4851376146788991,0.6429357798165137,0.21027522935779816
-1,2021-02,5215,1065,0.3647171620325983,0.3838926174496644,0.20421860019175456
-1,2021-03,6786,1463,0.22369584438549955,0.15576186265841438,0.21559092248747422
-1,2021-04,8463,1857,0.14061207609594706,0.04643743353420773,0.21942573555476783
-1,2021-05,9120,1961,0.13146929824561404,0.2598684210526316,0.2150219298245614
-1,2021-06,9623,2272,0.11327028993037515,0.1172191624233607,0.23610100800166267
-1,2021-07,9608,2298,0.1396752706078268,0.1396752706078268,0.23917568692756036
-1,2021-08,8726,2091,0.18553747421498967,0.13224845289938117,0.23962869585147833
-1,2021-09,9871,2286,0.22024111032316887,0.13139499544119138,0.23158747847229258
-1,2021-10,9711,2193,0.3441458140253321,0.27721140974153025,0.22582638245288847
-1,2021-11,9975,2265,0.4712781954887218,0.2939348370927318,0.22706766917293233
-1,2021-12,8345,1819,0.5588975434391852,0.5334931096464949,0.21797483523067704
-1,2022-01,9027,2022,0.4714744654924117,0.37631549795059266,0.22399468261881023
-1,2022-02,7678,1737,0.3972388642875749,0.35308674133889034,0.22623078926803855
-1,2022-03,8823,2039,0.2663493142921909,0.18429105746344782,0.2311005326986286
-1,2022-04,7933,1919,0.18303290054203958,0.07954115719147864,0.24190092020673137
-1,2022-05,9177,2179,0.13653699466056446,0.13337692056227526,0.2374414296611093
-1,2022-06,9349,2179,0.11648304631511391,0.08257567654294577,0.23307305594181196
-1,2022-07,9167,2305,0.1364677648085524,0.04679829824370023,0.25144540198538234
-1,2022-08,8939,2230,0.16981765298131782,0.07081329007718984,0.24946862065107953
-1,2022-09,8776,2077,0.22481768459434823,0.19405195989061075,0.23666818596171377
-1,2022-10,9334,2186,0.3208699378615813,0.2977287336618813,0.23419755731733446
-1,2022-11,9592,2207,0.4805045871559633,0.4970809007506255,0.23008757297748123
-1,2022-12,8209,1855,0.5172371787062979,0.5828968205627969,0.225971494700938
-1,2023-01,8754,1946,0.4688142563399589,0.4953164267763308,0.22229837788439571
-1,2023-02,7558,1720,0.38171473934903416,0.1854988092087854,0.22757343212490078
-1,2023-03,8183,1778,0.30270072100696566,0.4051081510448491,0.2172797262617622
-1,2023-04,7750,1827,0.19896774193548386,0.20103225806451613,0.23574193548387096
-1,2023-05,9075,2256,0.13586776859504132,0.0703030303030303,0.24859504132231405
-1,2023-06,9750,2404,0.11251282051282051,0.05805128205128205,0.24656410256410258
-1,2023-07,9162,2287,0.14811176598995854,0.22636978825583934,0.24961798733900895
-1,2023-08,8417,2148,0.173102055364144,0.15266722110015446,0.2551978139479625
-1,2023-09,9017,2274,0.21182211378507265,0.15980924919596318,0.2521903071975158
