lad2,month,collisions,ksi,share_dark,share_wet,ksi_rate
-1,2020-01,65,16,0.46153846153846156,0.38461538461538464,0.24615384615384617
-1,2020-02,60,12,0.4166666666666667,0.36666666666666664,0.2
-1,2020-03,32,12,0.1875,0.125,0.375
-1,2020-04,20,4,0.15,0.15,0.2
-1,2020-05,40,5,0.1,0.0,0.125
-1,2020-06,61,14,0.13114754098360656,0.06557377049180328,0.22950819672131148
-1,2020-07,49,10,0.061224489795918366,0.04081632653061224,0.20408163265306123
-1,2020-08,72,21,0.16666666666666666,0.2638888888888889,0.2916666666666667
-1,2020-09,77,16,0.16883116883116883,0.18181818181818182,0.2077922077922078
-1,2020-10,163,31,0.25766871165644173,0.4171779141104294,0.1901840490797546
-1,2020-11,157,30,0.43312101910828027,0.42038216560509556,0.1910828025477707
-1,2020-12,195,37,0.4717948717948718,0.6461538461538462,0.18974358974358974
-1,2021-01,5450,1254,0.4851376146788991,0.6429357798165137,0.23009174311926606
-1,2021-02,5215,1154,0.3647171620325983,0.3838926174496644,0.22128475551294344
-1,2021-03,6786,1582,0.22369584438549955,0.15576186265841438,0.23312702623047452
-1,2021-04,8463,2004,0.14061207609594706,0.04643743353420773,0.23679546260191423
-1,2021-05,9120,2135,0.13146929824561404,0.2598684210526316,0.23410087719298245
-1,2021-06,9623,2442,0.11327028993037515,0.1172191624233607,0.25376701652291384
-1,2021-07,9608,2532,0.1396752706078268,0.1396752706078268,0.26353039134054956
-1,2021-08,8726,2334,0.18553747421498967,0.13224845289938117,0.26747650699060277
-1,2021-09,9871,2511,0.22024111032316887,0.13139499544119138,0.2543815216290143
-1,2021-10,9711,2426,0.3441458140253321,0.27721140974153025,0.24981979198846668
-1,2021-11,9975,2482,0.4712781954887218,0.2939348370927318,0.2488220551378446
-1,2021-12,8345,2015,0.5588975434391852,0.5334931096464949,0.2414619532654284
-1,2022-01,9027,2226,0.4714744654924117,0.37631549795059266,0.24659355267530741
-1,2022-02,7678,1905,0.3972388642875749,0.35308674133889034,0.24811148736650168
-1,2022-03,8823,2190,0.2663493142921909,0.18429105746344782,0.24821489289357362
-1,2022-04,7933,2096,0.18303290054203958,0.07954115719147864,0.264212782049666
-1,2022-05,9177,2429,0.13653699466056446,0.13337692056227526,0.2646834477498093
-1,2022-06,9349,2377,0.11648304631511391,0.08257567654294577,0.254251791635469
-1,2022-07,9167,2587,0.1364677648085524,0.04679829824370023,0.2822079197120105
-1,2022-08,8939,2501,0.16981765298131782,0.07081329007718984,0.2797852108736995
-1,2022-09,8776,2292,0.22481768459434823,0.19405195989061075,0.26116681859617136
-1,2022-10,9334,2411,0.3208699378615813,0.2977287336618813,0.25830297835868865
-1,2022-11,9592,2426,0.4805045871559633,0.4970809007506255,0.2529190992493745
-1,2022-12,8209,2091,0.5172371787062979,0.5828968205627969,0.2547204287976611
-1,2023-01,8754,2125,0.4688142563399589,0.4953164267763308,0.24274617317797578
-1,2023-02,7558,1899,0.38171473934903416,0.1854988092087854,0.2512569462820852
-1,2023-03,8183,1952,0.30270072100696566,0.4051081510448491,0.23854332152022487
-1,2023-04,7750,2027,0.19896774193548386,0.20103225806451613,0.2615483870967742
-1,2023-05,9075,2522,0.13586776859504132,0.0703030303030303,0.2779063360881543
-1,2023-06,9750,2649,0.11251282051282051,0.05805128205128205,0.2716923076923077
-1,2023-07,9162,2576,0.14811176598995854,0.22636978825583934,0.2811613184894128
-1,2023-08,8417,2397,0.173102055364144,0.15266722110015446,0.28478080076036594
-1,2023-09,9017,2513,0.21182211378507265,0.15980924919596318,0.2786957968282134
-1,2023-10,9143,2383,0.32757300667177075,0.3456195996937548,0.26063655255386636
-1,2023-11,9161,2388,0.46883527999126734,0.4637048357166248,0.2606702325073682
-1,2023-12,8288,2223,0.5628619691119691,0.5793918918918919,0.26821911196911197
1,2019-01,109,30,0.5229357798165137,0.2018348623853211,0.27522935779816515
1,2019-02,120,23,0.5083333333333333,0.19166666666666668,0.19166666666666668
1,2019-03,139,22,0.4172661870503597,0.2014388489208633,0.15827338129496402
1,2019-04,96,15,0.25,0.15625,0.15625
1,2019-05,126,17,0.24603174603174602,0.15873015873015872,0.1349206349206349
1,2019-06,138,25,0.1956521739130435,0.18115942028985507,0.18115942028985507
1,2019-07,152,21,0.1513157894736842,0.08552631578947369,0.13815789473684212
1,2019-08,131,20,0.13740458015267176,0.12213740458015267,0.15267175572519084
1,2019-09,139,23,0.3669064748201439,0.16546762589928057,0.16546762589928057
1,2019-10,122,18,0.3770491803278688,0.3442622950819672,0.14754098360655737
1,2019-11,121,10,0.512396694214876,0.4132231404958678,0.08264462809917356
1,2019-12,128,25,0.5625,0.4140625,0.1953125
1,2020-01,100,14,0.54,0.22,0.14
1,2020-02,103,12,0.4174757281553398,0.4174757281553398,0.11650485436893204
1,2020-03,64,12,0.421875,0.234375,0.1875
1,2020-04,26,4,0.23076923076923078,0.07692307692307693,0.15384615384615385
1,2020-05,69,13,0.11594202898550725,0.014492753623188406,0.18840579710144928
1,2020-06,64,11,0.078125,0.15625,0.171875
1,2020-07,97,13,0.1134020618556701,0.12371134020618557,0.13402061855670103
1,2020-08,111,20,0.21621621621621623,0.16216216216216217,0.18018018018018017
1,2020-09,124,23,0.28225806451612906,0.12096774193548387,0.18548387096774194
1,2020-10,99,17,0.47474747474747475,0.41414141414141414,0.1717171717171717
1,2020-11,74,12,0.5540540540540541,0.24324324324324326,0.16216216216216217
1,2020-12,98,9,0.5306122448979592,0.40816326530612246,0.09183673469387756
10,2019-01,70,12,0.5,0.21428571428571427,0.17142857142857143
10,2019-02,68,15,0.36764705882352944,0.19117647058823528,0.22058823529411764
10,2019-03,76,22,0.32894736842105265,0.14473684210526316,0.2894736842105263
10,2019-04,74,11,0.1891891891891892,0.0945945945945946,0.14864864864864866
10,2019-05,96,11,0.19791666666666666,0.19791666666666666,0.11458333333333333
10,2019-06,87,12,0.13793103448275862,0.1724137931034483,0.13793103448275862
10,2019-07,90,17,0.13333333333333333,0.1,0.18888888888888888
10,2019-08,73,17,0.2465753424657534,0.136986301369863,0.2328767123287671
10,2019-09,74,17,0.28378378378378377,0.24324324324324326,0.22972972972972974
10,2019-10,86,11,0.38372093023255816,0.29069767441860467,0.12790697674418605
10,2019-11,86,15,0.6046511627906976,0.46511627906976744,0.1744186046511628
10,2019-12,65,8,0.6461538461538462,0.6153846153846154,0.12307692307692308
10,2020-01,76,9,0.5394736842105263,0.42105263157894735,0.11842105263157894
10,2020-02,64,11,0.5,0.359375,0.171875
10,2020-03,57,4,0.38596491228070173,0.2807017543859649,0.07017543859649122
10,2020-04,27,2,0.14814814814814814,0.037037037037037035,0.07407407407407407
10,2020-05,53,8,0.09433962264150944,0.0,0.1509433962264151
10,2020-06,79,19,0.12658227848101267,0.10126582278481013,0.24050632911392406
10,2020-07,100,25,0.16,0.12,0.25
10,2020-08,106,20,0.19811320754716982,0.10377358490566038,0.18867924528301888
10,2020-09,122,20,0.2540983606557377,0.13934426229508196,0.16393442622950818
10,2020-10,104,13,0.2980769230769231,0.40384615384615385,0.125
10,2020-11,71,7,0.5070422535211268,0.16901408450704225,0.09859154929577464
10,2020-12,73,13,0.5616438356164384,0.3698630136986301,0.1780821917808219
100,2019-01,25,2,0.6,0.44,0.08
100,2019-02,27,4,0.3333333333333333,0.14814814814814814,0.14814814814814814
100,2019-03,23,6,0.2608695652173913,0.43478260869565216,0.2608695652173913
100,2019-04,22,4,0.18181818181818182,0.0,0.18181818181818182
100,2019-05,39,8,0.1282051282051282,0.05128205128205128,0.20512820512820512
100,2019-06,37,5,0.05405405405405406,0.2972972972972973,0.13513513513513514
100,2019-07,21,3,0.2857142857142857,0.19047619047619047,0.14285714285714285
100,2019-08,24,4,0.25,0.20833333333333334,0.16666666666666666
100,2019-09,33,13,0.21212121212121213,0.30303030303030304,0.3939393939393939
100,2019-10,39,7,0.1794871794871795,0.28205128205128205,0.1794871794871795
100,2019-11,46,6,0.5869565217391305,0.45652173913043476,0.13043478260869565
100,2019-12,45,15,0.6444444444444445,0.5777777777777777,0.3333333333333333
100,2020-01,31,7,0.5806451612903226,0.45161290322580644,0.22580645161290322
100,2020-02,43,5,0.4883720930232558,0.5581395348837209,0.11627906976744186
100,2020-03,27,2,0.2962962962962963,0.3333333333333333,0.07407407407407407
100,2020-04,9,2,0.3333333333333333,0.0,0.2222222222222222
100,2020-05,22,8,0.18181818181818182,0.0,0.36363636363636365
100,2020-06,16,1,0.0,0.0625,0.0625
100,2020-07,28,5,0.07142857142857142,0.10714285714285714,0.17857142857142858
100,2020-08,17,3,0.11764705882352941,0.058823529411764705,0.17647058823529413
100,2020-09,24,3,0.20833333333333334,0.25,0.125
100,2020-10,28,3,0.6071428571428571,0.5,0.10714285714285714
100,2020-11,26,10,0.46153846153846156,0.46153846153846156,0.38461538461538464
100,2020-12,18,2,0.6111111111111112,0.6666666666666666,0.1111111111111111
101,2019-01,20,5,0.6,0.7,0.25
101,2019-02,16,2,0.3125,0.0625,0.125
101,2019-03,19,2,0.47368421052631576,0.3684210526315789,0.10526315789473684
101,2019-04,19,2,0.10526315789473684,0.10526315789473684,0.10526315789473684
101,2019-05,24,6,0.16666666666666666,0.16666666666666666,0.25
101,2019-06,22,0,0.13636363636363635,0.2727272727272727,0.0
101,2019-07,22,1,0.0,0.3181818181818182,0.045454545454545456
101,2019-08,22,5,0.4090909090909091,0.2727272727272727,0.22727272727272727
101,2019-09,18,1,0.2777777777777778,0.2222222222222222,0.05555555555555555
101,2019-10,24,8,0.3333333333333333,0.4166666666666667,0.3333333333333333
101,2019-11,24,6,0.7083333333333334,0.5833333333333334,0.25
101,2019-12,20,1,0.6,0.75,0.05
101,2020-01,13,5,0.23076923076923078,0.46153846153846156,0.38461538461538464
101,2020-02,17,2,0.47058823529411764,0.47058823529411764,0.11764705882352941
101,2020-03,15,5,0.6,0.4666666666666667,0.3333333333333333
101,2020-04,5,0,0.2,0.0,0.0
101,2020-05,13,1,0.07692307692307693,0.0,0.07692307692307693
101,2020-06,11,3,0.0,0.09090909090909091,0.2727272727272727
101,2020-07,22,3,0.22727272727272727,0.2727272727272727,0.13636363636363635
101,2020-08,10,5,0.3,0.3,0.5
101,2020-09,24,1,0.125,0.125,0.041666666666666664
101,2020-10,11,1,0.2727272727272727,0.36363636363636365,0.09090909090909091
101,2020-11,10,2,0.7,0.6,0.2
101,2020-12,17,3,0.35294117647058826,0.7647058823529411,0.17647058823529413
102,2019-01,78,9,0.5769230769230769,0.4230769230769231,0.11538461538461539
102,2019-02,62,14,0.3387096774193548,0.1935483870967742,0.22580645161290322
102,2019-03,72,11,0.2916666666666667,0.4027777777777778,0.1527777777777778
102,2019-04,47,8,0.2978723404255319,0.0425531914893617,0.1702127659574468
102,2019-05,79,10,0.13924050632911392,0.1518987341772152,0.12658227848101267
102,2019-06,92,19,0.14130434782608695,0.2391304347826087,0.20652173913043478
102,2019-07,76,11,0.18421052631578946,0.3157894736842105,0.14473684210526316
102,2019-08,71,6,0.23943661971830985,0.16901408450704225,0.08450704225352113
102,2019-09,69,11,0.21739130434782608,0.30434782608695654,0.15942028985507245
102,2019-10,89,16,0.39325842696629215,0.29213483146067415,0.1797752808988764
102,2019-11,84,13,0.5833333333333334,0.40476190476190477,0.15476190476190477
102,2019-12,74,10,0.6486486486486487,0.4864864864864865,0.13513513513513514
102,2020-01,66,20,0.6060606060606061,0.30303030303030304,0.30303030303030304
102,2020-02,60,10,0.5333333333333333,0.48333333333333334,0.16666666666666666
102,2020-03,41,6,0.3170731707317073,0.2926829268292683,0.14634146341463414
102,2020-04,26,3,0.11538461538461539,0.038461538461538464,0.11538461538461539
102,2020-05,35,4,0.2571428571428571,0.02857142857142857,0.11428571428571428
102,2020-06,41,12,0.21951219512195122,0.14634146341463414,0.2926829268292683
102,2020-07,48,10,0.16666666666666666,0.3125,0.20833333333333334
102,2020-08,34,4,0.20588235294117646,0.20588235294117646,0.11764705882352941
102,2020-09,48,9,0.2916666666666667,0.16666666666666666,0.1875
102,2020-10,59,14,0.3728813559322034,0.5084745762711864,0.23728813559322035
102,2020-11,51,11,0.6078431372549019,0.39215686274509803,0.21568627450980393
102,2020-12,43,7,0.6744186046511628,0.6744186046511628,0.16279069767441862
104,2019-01,24,3,0.4583333333333333,0.5416666666666666,0.125
104,2019-02,26,6,0.34615384615384615,0.3076923076923077,0.23076923076923078
104,2019-03,22,2,0.36363636363636365,0.3181818181818182,0.09090909090909091
104,2019-04,21,6,0.23809523809523808,0.09523809523809523,0.2857142857142857
104,2019-05,35,10,0.14285714285714285,0.14285714285714285,0.2857142857142857
104,2019-06,28,5,0.07142857142857142,0.17857142857142858,0.17857142857142858
104,2019-07,23,3,0.08695652173913043,0.17391304347826086,0.13043478260869565
104,2019-08,28,7,0.10714285714285714,0.14285714285714285,0.25
104,2019-09,26,9,0.2692307692307692,0.2692307692307692,0.34615384615384615
104,2019-10,29,8,0.41379310344827586,0.3793103448275862,0.27586206896551724
104,2019-11,32,6,0.46875,0.40625,0.1875
104,2019-12,21,4,0.8571428571428571,0.6666666666666666,0.19047619047619047
104,2020-01,24,0,0.5,0.5416666666666666,0.0
104,2020-02,26,11,0.46153846153846156,0.46153846153846156,0.4230769230769231
104,2020-03,17,4,0.4117647058823529,0.35294117647058826,0.23529411764705882
104,2020-04,7,1,0.14285714285714285,0.0,0.14285714285714285
104,2020-05,14,6,0.21428571428571427,0.0,0.42857142857142855
104,2020-06,17,4,0.058823529411764705,0.47058823529411764,0.23529411764705882
104,2020-07,13,2,0.15384615384615385,0.23076923076923078,0.15384615384615385
104,2020-08,20,6,0.2,0.15,0.3
104,2020-09,17,6,0.35294117647058826,0.058823529411764705,0.35294117647058826
104,2020-10,17,3,0.5882352941176471,0.47058823529411764,0.17647058823529413
104,2020-11,8,2,0.625,0.625,0.25
104,2020-12,18,4,0.5555555555555556,0.6111111111111112,0.2222222222222222
106,2019-01,14,0,0.6428571428571429,0.2857142857142857,0.0
106,2019-02,10,4,0.5,0.3,0.4
106,2019-03,15,6,0.4,0.3333333333333333,0.4
106,2019-04,19,5,0.21052631578947367,0.21052631578947367,0.2631578947368421
106,2019-05,36,8,0.1388888888888889,0.08333333333333333,0.2222222222222222
106,2019-06,26,1,0.11538461538461539,0.15384615384615385,0.038461538461538464
106,2019-07,23,4,0.13043478260869565,0.21739130434782608,0.17391304347826086
106,2019-08,16,5,0.1875,0.1875,0.3125
106,2019-09,34,6,0.14705882352941177,0.20588235294117646,0.17647058823529413
106,2019-10,31,5,0.3548387096774194,0.2903225806451613,0.16129032258064516
106,2019-11,28,5,0.5357142857142857,0.5,0.17857142857142858
106,2019-12,25,15,0.68,0.56,0.6
106,2020-01,15,5,0.26666666666666666,0.4,0.3333333333333333
106,2020-02,16,2,0.6875,0.6875,0.125
106,2020-03,21,5,0.3333333333333333,0.23809523809523808,0.23809523809523808
106,2020-04,8,3,0.0,0.125,0.375
106,2020-05,13,3,0.07692307692307693,0.07692307692307693,0.23076923076923078
106,2020-06,13,2,0.15384615384615385,0.15384615384615385,0.15384615384615385
106,2020-07,13,2,0.23076923076923078,0.38461538461538464,0.15384615384615385
106,2020-08,9,0,0.3333333333333333,0.2222222222222222,0.0
106,2020-09,14,4,0.35714285714285715,0.14285714285714285,0.2857142857142857
106,2020-10,18,3,0.3888888888888889,0.6666666666666666,0.16666666666666666
106,2020-11,18,8,0.5,0.5,0.4444444444444444
106,2020-12,19,3,0.47368421052631576,0.5263157894736842,0.15789473684210525
107,2019-01,38,6,0.5263157894736842,0.5263157894736842,0.15789473684210525
107,2019-02,28,8,0.35714285714285715,0.10714285714285714,0.2857142857142857
107,2019-03,30,3,0.3333333333333333,0.6,0.1
107,2019-04,22,0,0.0,0.09090909090909091,0.0
107,2019-05,37,3,0.10810810810810811,0.13513513513513514,0.08108108108108109
107,2019-06,27,7,0.07407407407407407,0.18518518518518517,0.25925925925925924
107,2019-07,35,8,0.14285714285714285,0.14285714285714285,0.22857142857142856
107,2019-08,28,7,0.17857142857142858,0.21428571428571427,0.25
107,2019-09,47,6,0.2553191489361702,0.23404255319148937,0.1276595744680851
107,2019-10,28,6,0.21428571428571427,0.2857142857142857,0.21428571428571427
107,2019-11,35,8,0.6857142857142857,0.6,0.22857142857142856
107,2019-12,38,5,0.631578947368421,0.6578947368421053,0.13157894736842105
107,2020-01,34,6,0.4411764705882353,0.5294117647058824,0.17647058823529413
107,2020-02,24,6,0.5416666666666666,0.4166666666666667,0.25
107,2020-03,27,3,0.14814814814814814,0.2222222222222222,0.1111111111111111
107,2020-04,4,2,0.25,0.25,0.5
107,2020-05,21,5,0.09523809523809523,0.09523809523809523,0.23809523809523808
107,2020-06,15,3,0.13333333333333333,0.2,0.2
107,2020-07,18,6,0.05555555555555555,0.2222222222222222,0.3333333333333333
107,2020-08,23,3,0.21739130434782608,0.17391304347826086,0.13043478260869565
107,2020-09,30,10,0.16666666666666666,0.16666666666666666,0.3333333333333333
107,2020-10,21,3,0.5714285714285714,0.23809523809523808,0.14285714285714285
107,2020-11,16,2,0.5,0.375,0.125
107,2020-12,25,2,0.64,0.48,0.08
109,2019-01,17,2,0.6470588235294118,0.7058823529411765,0.11764705882352941
109,2019-02,25,5,0.44,0.28,0.2
109,2019-03,29,2,0.27586206896551724,0.3103448275862069,0.06896551724137931
109,2019-04,10,2,0.1,0.3,0.2
109,2019-05,30,5,0.1,0.13333333333333333,0.16666666666666666
109,2019-06,27,3,0.14814814814814814,0.2222222222222222,0.1111111111111111
109,2019-07,15,3,0.06666666666666667,0.13333333333333333,0.2
109,2019-08,26,1,0.07692307692307693,0.07692307692307693,0.038461538461538464
109,2019-09,33,4,0.18181818181818182,0.42424242424242425,0.12121212121212122
109,2019-10,29,3,0.1724137931034483,0.2413793103448276,0.10344827586206896
109,2019-11,31,5,0.5483870967741935,0.6774193548387096,0.16129032258064516
109,2019-12,27,5,0.6666666666666666,0.6296296296296297,0.18518518518518517
109,2020-01,18,5,0.5555555555555556,0.4444444444444444,0.2777777777777778
109,2020-02,19,6,0.3157894736842105,0.42105263157894735,0.3157894736842105
109,2020-03,15,4,0.3333333333333333,0.06666666666666667,0.26666666666666666
109,2020-04,8,4,0.375,0.0,0.5
109,2020-05,14,4,0.07142857142857142,0.07142857142857142,0.2857142857142857
109,2020-06,15,1,0.06666666666666667,0.13333333333333333,0.06666666666666667
109,2020-07,18,5,0.2222222222222222,0.16666666666666666,0.2777777777777778
109,2020-08,13,2,0.23076923076923078,0.23076923076923078,0.15384615384615385
109,2020-09,19,4,0.2631578947368421,0.21052631578947367,0.21052631578947367
109,2020-10,24,3,0.375,0.5,0.125
109,2020-11,10,4,0.5,0.6,0.4
109,2020-12,14,5,0.5714285714285714,0.7142857142857143,0.35714285714285715
11,2019-01,51,10,0.6078431372549019,0.19607843137254902,0.19607843137254902
11,2019-02,63,2,0.47619047619047616,0.3492063492063492,0.031746031746031744
11,2019-03,42,3,0.42857142857142855,0.2619047619047619,0.07142857142857142
11,2019-04,51,13,0.3137254901960784,0.13725490196078433,0.2549019607843137
11,2019-05,70,9,0.1,0.05714285714285714,0.12857142857142856
11,2019-06,65,12,0.15384615384615385,0.23076923076923078,0.18461538461538463
11,2019-07,62,8,0.12903225806451613,0.11290322580645161,0.12903225806451613
11,2019-08,47,12,0.2553191489361702,0.06382978723404255,0.2553191489361702
11,2019-09,61,9,0.18032786885245902,0.21311475409836064,0.14754098360655737
11,2019-10,69,11,0.34782608695652173,0.2898550724637681,0.15942028985507245
11,2019-11,65,5,0.47692307692307695,0.4461538461538462,0.07692307692307693
11,2019-12,56,5,0.5714285714285714,0.3392857142857143,0.08928571428571429
11,2020-01,48,6,0.3541666666666667,0.1875,0.125
11,2020-02,40,3,0.525,0.35,0.075
11,2020-03,41,6,0.4146341463414634,0.24390243902439024,0.14634146341463414
11,2020-04,19,3,0.15789473684210525,0.10526315789473684,0.15789473684210525
11,2020-05,33,3,0.12121212121212122,0.0,0.09090909090909091
11,2020-06,36,3,0.05555555555555555,0.16666666666666666,0.08333333333333333
11,2020-07,58,5,0.13793103448275862,0.06896551724137931,0.08620689655172414
11,2020-08,55,14,0.21818181818181817,0.16363636363636364,0.2545454545454545
11,2020-09,71,10,0.2112676056338028,0.056338028169014086,0.14084507042253522
11,2020-10,70,15,0.34285714285714286,0.4,0.21428571428571427
11,2020-11,50,4,0.46,0.22,0.08
11,2020-12,41,10,0.5121951219512195,0.2682926829268293,0.24390243902439024
110,2019-01,13,3,0.6153846153846154,0.6153846153846154,0.23076923076923078
110,2019-02,12,3,0.5833333333333334,0.25,0.25
110,2019-03,17,4,0.11764705882352941,0.23529411764705882,0.23529411764705882
110,2019-04,14,1,0.21428571428571427,0.07142857142857142,0.07142857142857142
110,2019-05,16,4,0.0625,0.3125,0.25
110,2019-06,22,5,0.045454545454545456,0.22727272727272727,0.22727272727272727
110,2019-07,25,3,0.2,0.28,0.12
110,2019-08,17,4,0.29411764705882354,0.23529411764705882,0.23529411764705882
110,2019-09,17,4,0.17647058823529413,0.35294117647058826,0.23529411764705882
110,2019-10,27,5,0.3333333333333333,0.4444444444444444,0.18518518518518517
