month,collisions,ksi,ksi_per_100_collisions,date,moy
2019-01,9371,2032,21.683918471881338,2019-01-01,1
2019-02,8838,1933,21.871464132156596,2019-02-01,2
2019-03,9427,2100,22.276440012729395,2019-03-01,3
2019-04,8899,2145,24.103831891223734,2019-04-01,4
2019-05,9758,2307,23.642139782742365,2019-05-01,5
2019-06,9942,2296,23.093944880305774,2019-06-01,6
2019-07,10325,2494,24.15496368038741,2019-07-01,7
2019-08,9534,2416,25.340885252779525,2019-08-01,8
2019-09,10222,2455,24.016826452748973,2019-09-01,9
2019-10,10311,2373,23.014256619144604,2019-10-01,10
2019-11,10937,2308,21.102678979610495,2019-11-01,11
2019-12,9972,2266,22.72362615322904,2019-12-01,12
2020-01,9591,2128,22.187467417370453,2020-01-01,1
2020-02,8546,1868,21.85817926515329,2020-02-01,2
2020-03,6551,1521,23.21782933903221,2020-03-01,3
2020-04,3298,872,26.440266828380835,2020-04-01,4
2020-05,5599,1484,26.504732988033577,2020-05-01,5
2020-06,6721,1630,24.25234340127957,2020-06-01,6
2020-07,8157,1984,24.322667647419394,2020-07-01,7
2020-08,8875,2239,25.228169014084507,2020-08-01,8
2020-09,9258,2272,24.540937567509182,2020-09-01,9
2020-10,8865,1980,22.33502538071066,2020-10-01,10
2020-11,7610,1770,23.258869908015768,2020-11-01,11
2020-12,8128,1814,22.31791338582677,2020-12-01,12
2021-01,5570,1281,22.998204667863554,2021-01-01,1
2021-02,5251,1164,22.167206246429252,2021-02-01,2
2021-03,6824,1595,23.373388042203985,2021-03-01,3
2021-04,8463,2004,23.679546260191422,2021-04-01,4
2021-05,9120,2135,23.410087719298247,2021-05-01,5
2021-06,9623,2442,25.376701652291384,2021-06-01,6
2021-07,9608,2532,26.353039134054953,2021-07-01,7
2021-08,8726,2334,26.74765069906028,2021-08-01,8
2021-09,9871,2511,25.438152162901428,2021-09-01,9
2021-10,9711,2426,24.98197919884667,2021-10-01,10
2021-11,9975,2482,24.882205513784463,2021-11-01,11
2021-12,8345,2015,24.14619532654284,2021-12-01,12
2022-01,9027,2226,24.659355267530742,2022-01-01,1
2022-02,7678,1905,24.811148736650168,2022-02-01,2
2022-03,8823,2190,24.821489289357363,2022-03-01,3
2022-04,7933,2096,26.421278204966594,2022-04-01,4
2022-05,9177,2429,26.46834477498093,2022-05-01,5
2022-06,9349,2377,25.425179163546904,2022-06-01,6
2022-07,9167,2587,28.22079197120105,2022-07-01,7
2022-08,8939,2501,27.978521087369952,2022-08-01,8
2022-09,8776,2292,26.116681859617138,2022-09-01,9
2022-10,9334,2411,25.830297835868866,2022-10-01,10
2022-11,9592,2426,25.291909924937446,2022-11-01,11
2022-12,8209,2091,25.47204287976611,2022-12-01,12
2023-01,8754,2125,24.274617317797578,2023-01-01,1
2023-02,7558,1899,25.12569462820852,2023-02-01,2
2023-03,8183,1952,23.854332152022486,2023-03-01,3
2023-04,7750,2027,26.15483870967742,2023-04-01,4
2023-05,9075,2522,27.790633608815426,2023-05-01,5
2023-06,9750,2649,27.16923076923077,2023-06-01,6
2023-07,9162,2576,28.11613184894128,2023-07-01,7
2023-08,8417,2397,28.478080076036594,2023-08-01,8
2023-09,9017,2513,27.86957968282134,2023-09-01,9
2023-10,9143,2383,26.063655255386635,2023-10-01,10
2023-11,9161,2388,26.06702325073682,2023-11-01,11
2023-12,8288,2223,26.8219111969112,2023-12-01,12
